,Player,Stars,Nationality,Age,Span,Matches,Not - Out,Runs,High Score,Average,Ball Faced,Strike Rates,100,50,Ducks,4.0s,6.0s,Balls,Overs,Mdns,Runs Conceded,Wkts,Avg,Economy,SR,4,5,Base Price (Cr)
0,RA Jadeja,9,I,34,11-30-07,240,76,2959,62.0*,27.39,2280,129.78,0,3,8,215,107,3829,638.1,2,4864,160,30.4,7.62,23.93,3,1,2
1,GJ Maxwell,6,F,35,11-30-11,134,17,2771,95,24.74,1768,156.73,0,18,18,232,160,944,157.2,1,1303,37,35.21,8.28,25.51,0,0,1
2,HH Pandya,7,I,30,11-30-14,137,40,2525,91,28.69,1734,145.61,0,10,6,189,136,1418,236.2,0,2150,64,33.59,9.09,22.15,0,0,1.5
3,AD Russell,10,F,35,11-30-11,127,20,2484,88.0*,29.22,1420,174.92,0,11,5,170,209,1697,282.5,0,2646,115,23,9.35,14.75,2,1,2
4,MP Stoinis,10,F,34,11-30-15,96,22,1866,124.0*,28.27,1314,142,1,9,9,150,91,803,133.5,0,1274,43,29.62,9.51,18.67,1,0,2
5,AR Patel,5,I,29,11-30-13,150,36,1653,66,21.46,1263,130.87,0,3,7,107,79,3099,516.3,2,3758,123,30.55,7.27,25.19,1,0,1
6,SP Narine,10,F,35,11-30-11,177,20,1534,109,17.04,925,165.83,1,7,16,164,97,4075,679.1,3,4571,180,25.39,6.73,22.63,7,1,2
7,MM Ali,6,F,36,11-30-17,67,6,1162,93,22.78,821,141.53,0,6,5,95,67,758,126.2,0,893,35,25.51,7.07,21.66,1,0,1
8,SM Curran,6,F,25,11-30-18,59,13,883,63.0*,25.22,647,136.47,0,5,4,74,37,1181,196.5,0,1900,58,32.75,9.65,20.36,1,0,1
9,R Ashwin,7,I,37,11-30-08,212,34,800,50,13.33,675,118.51,0,1,12,61,28,4524,754,4,5369,180,29.82,7.12,25.13,1,0,1.5
10,MR Marsh,8,F,31,11-30-09,42,2,665,89,19.55,521,127.63,0,3,5,48,38,560,93.2,1,795,37,21.48,8.51,15.13,2,0,1.5
11,PP Chawla,3,I,34,11-30-07,192,36,624,24.0*,11.14,563,110.83,0,0,16,56,20,3850,641.4,2,5108,192,26.6,7.96,20.05,2,0,0.5
12,Rashid Khan,10,F,25,11-30-16,121,23,545,79.0*,14.72,337,161.72,0,1,15,39,38,2859,476.3,4,3252,149,21.82,6.82,19.18,2,0,2
13,PJ Cummins,6,F,30,11-30-13,58,15,515,66.0*,19.8,344,149.7,0,3,4,33,34,1319,219.5,2,1923,63,30.52,8.74,20.93,1,0,1
14,KH Pandya,5,I,29,11-30-15,127,38,1647,86,22.56,1240,132.82,0,1,6,144,61,2122,353.4,1,2606,76,34.28,7.36,27.92,0,0,1
15,R Tewatia,3,I,30,11-30-13,93,25,1013,53,25.32,752,134.7,0,1,0,84,47,843,140.3,0,1111,32,34.72,7.91,26.34,0,0,0.5
16,Washington Sundar,3,I,25,11-30-16,60,13,378,40,14,325,116.31,0,0,4,32,9,1054,175.4,1,1325,37,35.81,7.54,28.48,0,0,0.5
17,SR Watson,10,F,43,11-30-07,145,16,3874,117.0*,30.99,2809,137.91,4,21,7,375,190,2029,338.1,3,2682,92,29.15,7.93,22.05,1,0,2
18,KA Pollard,8,F,37,11-30-09,189,52,3412,87.0*,28.67,2316,147.32,0,16,5,218,223,1488,248,0,2180,69,31.59,8.79,21.56,1,0,1.5
19,YK Pathan,5,I,42,11-30-07,174,44,3204,100,29.12,2241,142.97,1,13,9,262,158,1147,191.1,1,1415,42,33.69,7.4,27.3,0,0,1
20,JH Kallis,6,F,39,11-30-07,98,11,2427,89.0*,28.55,2222,109.22,0,17,9,255,44,1742,290.2,3,2293,65,35.27,7.89,26.8,0,0,1
21,DJ Bravo,6,F,36,11-30-07,161,44,1560,70.0*,22.6,1204,129.56,0,5,5,120,66,3119,519.5,3,4360,183,23.82,8.38,17.04,2,0,1
22,IK Pathan,5,I,36,11-30-07,103,29,1139,60,21.49,946,120.4,0,1,3,87,37,2043,340.3,10,2649,80,33.11,7.77,25.53,0,0,1
23,MC Henriques,6,F,35,11-30-08,62,18,1000,74.0*,27.77,788,126.9,0,5,2,87,28,950,158.2,0,1289,42,30.69,8.14,22.61,0,0,1
24,JA Morkel,6,F,37,11-30-07,91,28,974,73.0*,24.35,686,141.98,0,3,3,61,55,1723,287.1,3,2355,85,27.7,8.2,20.27,1,0,1
25,Harbhajan Singh,5,I,38,11-30-07,163,37,833,64,15.71,604,137.91,0,1,13,79,42,3416,569.2,6,4030,150,26.86,7.07,22.77,1,1,1
26,Shakib Al Hasan,6,F,36,11-30-10,71,12,793,66.0*,19.82,637,124.48,0,2,4,73,21,1484,247.2,1,1839,63,29.19,7.43,23.55,0,0,1
27,CH Morris,6,F,34,11-30-12,81,23,618,82.0*,22.07,398,155.27,0,2,9,41,35,1720,286.4,1,2295,95,24.15,8,18.1,4,0,1
28,JP Faulkner,6,F,35,11-30-10,60,20,527,46,21.08,389,135.47,0,0,0,36,23,1227,204.3,4,1778,59,30.13,8.69,20.79,0,2,1

